SID,LAT,LON,Time
1980290N10088,16.3000,81.4000,340718400.0
1980290N10088,16.3817,81.3525,340729200.0
1980290N10088,16.5033,81.3100,340740000.0
1980290N10088,16.6467,81.2709,340750800.0
1980290N10088,16.8000,81.2333,340761600.0
1980317N11075,11.3000,74.8000,342842400.0
1980317N11075,11.3074,74.6856,342846000.0
1980317N11075,11.3179,74.3270,342856800.0
1980317N11075,11.3581,74.0018,342867600.0
1980317N11075,11.3920,73.6992,342878400.0
1980317N11075,11.4016,73.5169,342885600.0
1980317N11075,11.4036,73.4301,342889200.0
1980317N11075,11.4159,73.1792,342900000.0
1980317N11075,11.4546,72.9296,342910800.0
1980317N11075,11.5175,72.6843,342921600.0
1980317N11075,11.5725,72.5222,342928800.0
1980317N11075,11.6039,72.4389,342932400.0
1980317N11075,11.7058,72.1901,342943200.0
1980317N11075,11.8067,71.9355,342954000.0
1980317N11075,11.9094,71.7082,342964800.0
1980317N11075,11.9778,71.5858,342972000.0
1980317N11075,12.0107,71.5333,342975600.0
1980317N11075,12.1093,71.4005,342986400.0
1980317N11075,12.2084,71.2939,342997200.0
1980317N11075,12.3092,71.1909,343008000.0
1980317N11075,12.3742,71.1053,343015200.0
1980317N11075,12.4074,71.0586,343018800.0
1980317N11075,12.5178,70.9147,343029600.0
1980317N11075,12.6540,70.7747,343040400.0
1980317N11075,12.8028,70.6316,343051200.0
1980317N11075,12.9000,70.5333,343058400.0
1980317N11075,12.9489,70.4816,343062000.0
1980317N11075,13.0974,70.3221,343072800.0
1980317N11075,13.2478,70.1554,343083600.0
1980317N11075,13.3991,70.0016,343094400.0
1980317N11075,13.5000,69.9169,343101600.0
1980317N11075,13.5500,69.8821,343105200.0
1980317N11075,13.6999,69.7882,343116000.0
1980317N11075,13.8499,69.7028,343126800.0
1980317N11075,14.0000,69.5938,343137600.0
1980317N11075,14.1000,69.4883,343144800.0
1980317N11075,14.1512,69.4252,343148400.0
1980317N11075,14.3055,69.2199,343159200.0
1980317N11075,14.4630,69.0123,343170000.0
1980317N11075,14.6057,68.8127,343180800.0
1980317N11075,14.6830,68.6983,343188000.0
1980317N11075,14.7162,68.6469,343191600.0
1980317N11075,14.8060,68.4898,343202400.0
1980317N11075,14.9006,68.3053,343213200.0
1980317N11075,14.9840,68.1085,343224000.0
1980317N11075,15.0239,67.9777,343231200.0
1980317N11075,15.0388,67.9081,343234800.0
1980317N11075,15.0886,67.6944,343245600.0
1980317N11075,15.1598,67.4800,343256400.0
1980317N11075,15.2893,67.2736,343267200.0
1980317N11075,15.4142,67.1336,343274400.0
1980317N11075,15.4952,67.0655,343278000.0
1980317N11075,15.8079,66.8978,343288800.0
1980317N11075,16.2468,66.7879,343299600.0
1980317N11075,16.6775,66.7906,343310400.0
1980317N11075,16.8698,66.8759,343317600.0
1980317N11075,16.9454,66.9403,343321200.0
1980317N11075,17.1551,67.1877,343332000.0
1980317N11075,17.3777,67.4765,343342800.0
1980317N11075,17.6686,67.7402,343353600.0
1980317N11075,17.9652,67.8343,343360800.0
1980317N11075,18.1298,67.8654,343364400.0
1980317N11075,18.5911,67.9792,343375200.0
1980317N11075,18.8823,68.2130,343386000.0
1980317N11075,19.0861,68.5011,343396800.0
1980317N11075,19.2069,68.6948,343404000.0
1980317N11075,19.2593,68.7919,343407600.0
1980317N11075,19.4110,69.0879,343418400.0
1980317N11075,19.5926,69.3789,343429200.0
1980317N11075,19.7887,69.6890,343440000.0
1980317N11075,19.9216,69.9140,343447200.0
1980317N11075,19.9907,70.0332,343450800.0
1980317N11075,20.2118,70.4114,343461600.0
1980317N11075,20.4000,70.7000,343468800.0
1980338N09085,9.36667,84.6667,344649600.0
1980338N09085,9.52670,84.4989,344660400.0
1980338N09085,9.68336,84.3342,344671200.0
1980338N09085,9.83667,84.1724,344682000.0
